,,,,,,,,,,Row Labels,Sum of Confirmed,,,,
Row Labels,Sum of Confirmed,,,,Sum of Confirmed,Sum of Death,Rate ,,,Jan," 13,196,176,004 ",,,,
United Kingdom," 6,243,161,497 ",,,," 162,820,413,345 "," 2,784,991,331 ",1.7%,,,Feb," 14,634,266,430 ",,,,
France," 7,059,271,858 ",,,,,,,,,Mar," 18,157,004,917 ",,,,
Brazil," 12,577,847,980 ",,,,,,,,,Apr," 19,365,901,965 ",,,,
India," 18,267,958,037 ",,,,,,,,,May," 21,381,987,562 ",,,,
US," 29,957,136,474 ",,,,,,,,,Jun," 21,707,329,704 ",,,,
Grand Total," 74,105,375,846 ",,,,,,,,,Jul," 10,736,113,461 ",,,,
,,,,,Row Labels,Sum of Confirmed,,,,Aug," 7,138,523,144 ",,,,
,,,,,2020," 7,639,355,483 ",,,,Sep," 7,707,014,009 ",,,,
,,,,,2021," 67,127,502,899 ",,,,Oct," 8,701,994,627 ",,,,
,,,,,2022," 88,053,554,963 ",,,,Nov," 9,302,850,061 ",,,,
,,,,,Grand Total," 162,820,413,345 ",,,,Dec," 10,791,251,461 ",,,,
,,,,,,,,,,Grand Total," 162,820,413,345 ",,,,
,,,,,,,,,,,,,,,
,,,,,,,, ,,,,,,,
,,,,,,,,,,,,,,,
Row Labels,Sum of Confirmed,, ,,Sum of Confirmed,Column Labels,,,,,,,,,
MS Zaandam," 7,469 ",,,,Row Labels,2020,2021,2022,Grand Total,,,,,,
Marshall Islands," 3,943 ",,,,Jan," 38,557 "," 2,923,499,046 "," 10,272,638,401 "," 13,196,176,004 ",,,,,,
Antarctica," 2,277 ",,,,Feb," 1,672,160 "," 3,061,961,714 "," 11,570,632,556 "," 14,634,266,430 ",,,,,,
Micronesia," 2,234 ",,,,Mar," 8,977,397 "," 3,768,212,804 "," 14,379,814,716 "," 18,157,004,917 ",,,,,,
"Korea, North", 56 ,,,,Apr," 63,424,515 "," 4,207,767,288 "," 15,094,710,162 "," 19,365,901,965 ",,,,,,
Grand Total," 15,979 ",,,,May," 145,049,518 "," 5,050,260,476 "," 16,186,677,568 "," 21,381,987,562 ",,,,,,
,,,,,Jun," 246,747,246 "," 5,319,887,232 "," 16,140,695,226 "," 21,707,329,704 ",,,,,,
,,,,,Jul," 431,731,095 "," 5,895,996,032 "," 4,408,386,334 "," 10,736,113,461 ",,,,,,
,,,,,Aug," 672,086,314 "," 6,466,436,830 ",," 7,138,523,144 ",,,,,,
,,,,,Sep," 895,479,988 "," 6,811,534,021 ",," 7,707,014,009 ",,,,,,
,,,,,Oct," 1,229,383,115 "," 7,472,611,512 ",," 8,701,994,627 ",,,,,,
,,,,,Nov," 1,648,010,551 "," 7,654,839,510 ",," 9,302,850,061 ",,,,,,
,,,,,Dec," 2,296,755,027 "," 8,494,496,434 ",," 10,791,251,461 ",,,,,,
,,,,,Grand Total," 7,639,355,483 "," 67,127,502,899 "," 88,053,554,963 "," 162,820,413,345 ",,,,,,
